MOUSE   MICROSAT    DATA    FOR RST ANALYSIS                                        
 8 
 20 
 8 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
 20 
4_149                                                           
 2 
 149 
4_315                                                           
 2 
 315 
4_103                                                           
 2 
 103 
4_104                                                           
 2 
 104 
4_264                                                           
 2 
 264 
4_235                                                           
 2 
 235 
4_181                                                           
 2 
 181 
4_227                                                           
 2 
 227 
POS                                                         
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091   6.869117915630341E-002   .4288321733474731   .7331331372261047   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283   6.869117915630341E-002   6.869117915630341E-002   .7331331372261047   .7331331372261047   
-.3557749688625336  -.3557749688625336   .6717527508735657   .6717527508735657  -.4204955697059631  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .2582363188266754  -.4177277088165283  -.4177277088165283  -.5466164946556091  -.5466164946556091   .4288321733474731   .4288321733474731   
ST1                                                         
 4.580558836460114E-002   .848966658115387   1.837669871747494E-002   .3450647294521332  -.6893436312675476  -.4204955697059631  -.1703179031610489  -.1703179031610489   .2582363188266754   .4610231220722198  -.4177277088165283  -.2142680883407593  -3.007847309112549  -.2389626801013947  -1.701274752616882   1.341735124588013   
